title,authors_abbrev,year,venue,abstract,doi_link,filter1,filter2,filter3,filter4,filter5,info1,info2,info3
Cognitive Work and Material Practice,Bowker,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_9,[framework] Actor-Network Theory (ANT);[framework] Sociomaterial Theory;,,[method] Coding and Categorization;,,,,,
What Does It Mean to Learn the Meaning of Words?,Brown,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_6,[framework] Cognitive Psychology;,,[method] Discourse Analysis;,,,,,
"Word Learning, Intentions, and Discourse",Bloom,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_8,,,,,communication;mastery orientation;,,,
Commonsense Conceptions of Emergent Processes: Why Some Misconceptions Are Robust,Chi,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_1,,,,,conceptual understanding;,,,
Word Meaning and Ecological Validity,Cicourel,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_5,,,[method] Ecological Validity;,,domain knowledge;mastery orientation;,,,
How DOORKNOB Gets Its Meaning,Dogan & Nersessian,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_7,,,,,mastery orientation;,,,
How Does Technology-Enabled Active Learning Affect Undergraduate Students' Understanding of Electromagnetism Concepts?,Dori & Belcher,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_3,,,,,conceptual understanding;knowledge;,,,
Constructing Kids,Eisenberg,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1403_4,,,[method] Design Thinking Research;,,agency;creativity;,,,
"Passive Kids, Aggressive Book",Eisenberg,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1404_5,,,,,agency;,,,
Knowledge Convergence in Computer-Supported Collaborative Learning: The Role of External Representation Tools,Fischer & Mandl,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1403_3,,,,,,,,
The Transfer of Scientific Principles Using Concrete and Idealized Simulations,Goldstone & Son,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_4,,,,,conceptual understanding;transfer;,,,
Reconstructing the Learning Sciences,Hall,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_8,,,,,,,,
Toward an Understanding of How Threads Die in Asynchronous Computer Conferences,Hewitt,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1404_4,,,,,,,,
"""You Have to Count the Squares"": Applying Knowledge in Pieces to Learning Rectangular Area",Izsak,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1403_2,,,,,,,,
Shifting Engagements in Figured Worlds: Middle School Mathematics Students' Participation in an Architectural Design Project,Jurow,2005,Journal of the Learning Sciences,"Project-based curricula have the potential to engage students' interests. But how do students become interested in the goals of a project? This article documents how a group of 8th-grade students participated in an architectural design project called the Antarctica Project. The project is based on the imaginary premise that students need to design a research station in Antarctica. This premise is meant to provide a meaningful context for learning mathematics. Using ethnography and discourse analysis, the article investigates students' engagement with the imaginary premise and curricular tasks during the 7-week project. A case study consisting of scenes from main phases of the project shows how the students took on concerns and responsibilities associated with the figured world proposed by the Antarctica Project and how this shaped their approaches to mathematical tasks (Holland, Lachicotte, Skinner, & Cain, 1998). Participating in the figured world of Antarctica and evaluating situations within this world was important for how students used mathematics meaningfully to solve problems. Curricular tasks and classroom activities that facilitated students in assuming and shifting between roles relevant to multiple figured worlds (i.e., of the classroom, Antarctica, and mathematics) helped them engage in the diverse intentions of curricular activities.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_3,,,,,,,,
Concepts and Categories,Koschmann,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_5,,,,,,,,
"Word and Thought: Interpretative Procedures, Cultural Learning, and Semantic Analysis",Koschmann,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_4,,,,,,,,
A Collective Case Study of the Use of ICT in Economics Courses: A Sociocultural Approach,Lim & Barnes,2005,Journal of the Learning Sciences,"Based on a collective case study of the use of an economics Information and Communication Technologies (ICT) tutorial-based package, WinEcon, in 3 British schools, this article examines the activity structures that exist in ICT-mediated lessons situated within their broader sociocultural contexts. Activity theory and its highly developed ideas of the sociocultural conceptions of human nature and cognition are adopted to frame the study. By drawing together Gifford's (1997) mediated learning model and Cole's (1995) culture as garden metaphor, the former captures the activities mediated by students, teachers, ICT, and non-ICT tools in the course, and these are situated in the latter's broader sociocultural settings of the school, education system, and society at large. Although the article provides an account of the use of WinEcon in economics courses, its emphases are on the issues and problems of ICT integration: course objectives, teaching and learning tools, participants, sociocultural constraints, activities, and design of the learning environment. Consistent with other studies of ICT integration, there are 2 interrelated points for consideration regarding the use of ICT in enculturating students to think ""in an economics way"": (a) pivotal role of the teacher in the design of the learning environment and (b) object of activities, sociocultural constraints, and the enculturation process.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1404_2,,,,,,,,
Technology-Mediation and Tutoring: How Do They Shape Progressive Inquiry Discourse?,Muukkonen et al.,2005,Journal of the Learning Sciences,"In higher education, there is a challenge to gain the full benefit of the potentials of learning technology for collaborative knowledge advancement and for scaffolding practices of academic literacy and scientific argumentation. The technology, ideally, would be used to provide support that enables students to deal with more demanding tasks than they could otherwise handle. We investigated the benefits of learning technology by examining the role of technology-mediation and tutoring in directing students' knowledge production in inquiry-based learning. A comparative analysis of inquiry discourse was conducted for 3 conditions between nonmediated and technology-mediated inquiry processes, the latter both tutored and nontutored. Qualitative content analysis was employed to examine how the scale of scaffolding related to the nature of knowledge produced. Furthermore, a descriptive analysis of the progression of discourse was conducted to examine evidence for deepening the question-explanation process, development of ideas in dialogue, and self-reflection. The scaffolding provided by the learning technology (The Future Learning Environment), together with the possibility for dialogue, appear to have supported practices of problem-setting, self-reflection, and collaborative development of ideas. Students in the 2 technology-mediated conditions were developing their ideas in dialogue, building on each other's knowledge and questions. Tutoring was found to be valuable for providing additional models and tools for advancing inquiry. Specific to the students of the nontechnology condition (who wrote learning-logs) was that they put more effort into understanding the theoretical content, evaluating and arguing it, but they did not engage in shared development of ideas. Through a combination of the practices, the authors foresee a potential, in higher education, for development of in-depth inquiry and practices of knowledge advancement including the nurturance of epistemic agency.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1404_3,,,,,,,,
Individual Cognitive Structuring and the Sociocultural Context: Strategy Shifts in the Game of Dominoes,Nasir,2005,Journal of the Learning Sciences,"In this article, I explore the relation between the sociocultural and individual cognitive structuring as elementary school students, high school students, and adults play the strategic game of dominoes. I present data from a study in which players at each level were observed and video-recorded during domino tournament play. Findings: reveal the cognitive and mathematical skills players developed as well as how those skills were fundamentally integrated with shifts in the activity structures of the game as players got older. Implications for understanding cognition and context and for teaching and learning are discussed.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_2,,,,,,,,
Learning to Collaborate: An Instructional Approach to Promoting Collaborative Problem Solving in Computer-Mediated Settings,Rummel & Spada,2005,Journal of the Learning Sciences,"Effective collaboration in computer-mediated settings among spatially distributed people is a precondition for success in many new learning and working contexts but it is hard to achieve. We have developed two instructional approaches to improve collaboration in such settings by promoting people's capabilities to collaborate in a fruitful way and furthering their understanding of what characterizes good collaboration. The rationale is that strategies necessary for a good and effective computer-mediated collaboration may be conveyed to people by exposing them to an elaborated worked-out collaboration example (observational learning) or by giving them the opportunity to learn from scripted collaborative problem-solving. An experimental study was conducted that compared learning from observing a worked-out collaboration example with the learning effects of scripted collaborative problem-solving, the effects of unscripted collaborative problem-solving, and a control condition without a learning phase. The experimental design provided clearly separated phases for the instructional treatments (learning phase) and for applying and testing the acquired skills (application phase). Both observing a worked-out collaboration example and collaborating with a script during the learning phase showed positive effects on process and outcome of the second collaboration in the application phase.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_2,,,,,,,,
Explaining Behavior Through Observational Investigation and Theory Articulation,Smith & Reiser,2005,Journal of the Learning Sciences,Conducting observational investigations of behaviors and processes is an important method for generating scientific knowledge. This article describes a methodology for assisting students in the processes of observational inquiry and theory articulation and its instantiation in a set of digital video tools. We describe a high school biology curriculum where students use these tools to investigate video clips of animal behavior and develop theories about how and why these behaviors evolved. We focus our discussion on an investigation model that scaffolds students through the processes of observing and explaining video as data and the computational and curricular supports that were designed to make these processes explicit. We conclude with a presentation of preliminary results to illustrate the types of explanations that emerged from working with the software and curriculum and a discussion of issues that emerged during the course of the research.,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1403_1,,,,,,,,
How Children Learn the Meaning of Words and How LSA Does It (Too),Louwerse & Ventura,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1402_7,,,[method] COMMENTARY;,,,,,
From the Pragmatics of Classification Systems to the Metaphysics of Concepts,Vosniadou et al.,2005,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1401_6,,,[method] COMMENTARY;,,,,,
The Nature and Development of Teachers' Metastrategic Knowledge in the Context of Teaching Higher Order Thinking,Zohar,2006,Journal of the Learning Sciences,"This study examines the development of teachers’ metastrategic knowledge (MSK), a component of metacognitive knowledge, in the context of higher order thinking. Participants were 14 junior high school and high school science teachers who attended a professional development course. Data collection was carried out by triangulation of several data sources: classroom observations, individual interviews, written assignments, and recordings of discussions that took place during the course. The Findings section provides a detailed analysis of the professional development of 2 teachers, as well as an analysis of the development of the 14 teachers as a group. The data provide evidence for the types of knowledge teachers need for applying MSK in the course of instruction, the most specific of which are MSK of thinking skills (that must be explicit) and pedagogical knowledge regarding MSK. The considerable overall development in teachers’ MSK following an in-service course consisted of at least 3 different patterns of development: (a) learning MSK regarding new thinking skills, (b) transforming initially implicit metalevel knowledge into explicit metalevel knowledge, and (c) introducing changes in the class culture to value new forms of discourse regarding thinking. The implications for professional development courses in this field are discussed.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1503_2,[framework] Argumentation Theory;[framework] Grounded Theory;,,[method] Participant Observation;[method] Discourse Analysis;[method] Grounded Theory;[method] Interview Methods;[method] Narrative Inquiry;,[population] high school;[population] middle school;[subject] science;,argumentation;critical reflection;critical thinking;,,,
Designing Social Infrastructure: Critical Issues in Creating Learning Environments With Technology,Bielaczyc,2006,Journal of the Learning Sciences,"If design research involving technology-based tools is going to impact educational settings, the design process must be extended beyond the tool itself to encompass a broader range of factors such as the classroom social structures (e.g., beliefs about learning and knowledge, learning activities and participant structures, configurations of both physical space and cyberspace). Although prior research has underscored the importance of classroom social structures in technology integration, it has failed to specify the critical design variables that must be taken into account. Only by understanding the critical variables involved is it possible to develop a deep understanding of how and why things work. The Social Infrastructure Framework systematically frames the critical design elements in terms of 4 dimensions: (a) cultural beliefs, (b) practices, (c) socio-techno-spatial relations, and (d) interaction with the ""outside world."" This article details the design issues associated with each dimension based on examples drawn from a range of educational technologies. This article also describes how the framework can serve to advance the methodology of design research by serving as a tool for both design and analysis.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1503_1,[framework] Social Infrastructure Framework;[framework] Sociocultural Theory;,,[method] Design-Based Research (DBR);,[setting] higher education;,collaboration;,,,
Remembering Giyoo Hatano,Cole & Miyake,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1503_4,,,,,,,,
Sharing Solutions: Persistence and Grounding in Multimodal Collaborative Problem Solving,Dillenbourg & Traum,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_9,,,,,,,,
Cognition and Vocation,Eisenberg,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1502_5,,,,,,,,
Framing Interactions to Foster Generative Learning: A Situative Explanation of Transfer in a Community of Learners Classroom,Engle,2006,Journal of the Learning Sciences,"This article develops a situative approach to explaining the transfer of learning, illustrating it using a challenging-to-explain case from a Fostering Communities of Learners classroom. The case involved a group of 5th graders who learned and then transferred a more sophisticated way of explaining species survival and endangerment despite participating in a unit in which many activities designed to foster transfer were short circuited. The explanation included 2 kinds of analyses: (a) how students participated in the learning of relevant content, and (b) how learning contexts were framed interactionally. The content analysis took a situative perspective on commonly investigated transfer mechanisms such as quality of initial learning, engagement with multiple examples, comparison between examples, and formation of generalizations. There was strong evidence for a few of these mechanisms and weak or inconclusive evidence for others. The context analysis explored 2 aspects of the relatively new hypothesis that transfer is more likely to occur when learning contexts are framed as part of a larger ongoing intellectual conversation in which students are actively involved. First, the analysis showed that the teacher worked to frame learning contexts as being temporally connected with other contexts in which the students could use what they were learning. Second, it showed that the teacher worked to frame the students as contributing members of a larger community of people interested in what they were learning about. These and other forms of framing may have encouraged the students to expect that they would be generatively using what they were learning, thus leading them to make better use of the content-based supports for transfer that were available. Thus, this study suggests that coordinating analyses of content with the framing of contexts may be a particularly fruitful approach for developing more comprehensive explanations of how and why the transfer of learning occurs.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1504_2,,,,,,,,
The Complex Systems See-Change in Education,Goldstone,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_5,,,,,,,,
"Authoritative, Accountable Positioning and Connected, General Knowing: Progressive Themes in Understanding Transfer",Greeno,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1504_4,,,,,,,,
Understanding Complex Systems: Some Core Challenges,Hmelo-Silver & Azevedo,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_7,,,,,,,,
Complex Systems in Education: Scientific and Educational Importance and Implications for the Learning Sciences,Jacobson & Wilensky,2006,Journal of the Learning Sciences,"The multidisciplinary study of complex systems in the physical and social sciences over the past quarter of a century has led to the articulation of important new conceptual perspectives and methodologies that are of value both to researchers in these fields as well as to professionals, policymakers, and citizens who must deal with challenging social and global problems in the 21st century. The main goals of this article are to (a) argue for the importance of learning these ideas at the precollege and college levels; (b) discuss the significant challenges inherent in learning complex systems knowledge from the standpoint of learning sciences theory and research; (c) discuss the ""learnability issue"" of complex systems conceptual perspectives and review a body of literature that has been exploring how learning sciences pedagogical approaches can lead to student learning of important dimensions of complex systems knowledge; (d) argue that the cognitive and sociocultural factors related to learning complex systems knowledge are relevant and challenging areas for learning sciences research; and (e) consider ways that concepts and methodologies from the study of complex systems raise important issues of theoretical and methodological centrality in the field of the learning sciences itself.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_4,,,,,,,,
Modeling Students Modeling Abilities: The Teaching and Learning of Complex Systems in Education,Lesh,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_6,,,,,,,,
"Alternative Perspectives on the Transfer of Learning: History, Issues, and Challenges for Future Research",Lobato,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1504_1,,,,,,,,
On Some Necessary Conditions of Learning,Marton & Pang,2006,Journal of the Learning Sciences,"The purpose of this article is to identify some necessary conditions of learning. To learn something, the learner must discern what is to be learned (the object of learning). Discerning the object of learning amounts to discerning its critical aspects. To discern an aspect, the learner must experience potential alternatives, that is, variation in a dimension corresponding to that aspect, against the background of invariance in other aspects of the same object of learning. (One could not discern the color of things, for instance, if there was only one color.) The study results illustrate that what students learn in a sequence of lessons is indeed a function of the pattern of variation and invariance constituted in that sequence. All teachers make use of variation and invariance in their teaching, but this study shows that teachers informed by a systematic framework do it more systematically, with striking effects on their students' learning.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1502_2,,,,,,,,
Sameness and Difference in Transfer,Marton,2006,Journal of the Learning Sciences,"Discussions about transfer have mainly dealt with how people manage to do something in a situation thanks to having done something similar in a previous situation. From an educational point of view, however, it appears more fruitful to consider the case when the learner, having learned to do something in 1 situation, might be able to do something different in other situations, thanks to perceived differences (and similarities) between situations. The case is made for widening the focus of attention to how situations are related through differences (and similarities).",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1504_3,,,,,,,,
Supporting Students' Construction of Scientific Explanations by Fading Scaffolds in Instructional Materials,McNeill et al.,2006,Journal of the Learning Sciences,"The purpose of this study was to determine whether providing students with continuous written instructional support or fading written instructional support (scaffolds) better prepares students to construct scientific explanations when they are no longer provided with support. This article investigated the influence of scaffolding on 331 seventh-grade students' writing of scientific explanations during an 8-week, project-based chemistry unit in which the construction of scientific explanations is a key learning goal. The unit makes an instructional model for explanation explicit to students through a focal lesson and reinforces that model through subsequent written support for each investigation. Students received 1 of 2 treatments in terms of the type of written support: continuous, involving detailed support for every investigation, or faded, involving less support over time. The analyses showed significant learning gains for students for all components of scientific explanation (i.e., claim, evidence, and reasoning). However, on posttest items lacking scaffolds, the faded group gave stronger explanations in terms of their reasoning compared to the continuous group. Fading written scaffolds better equipped students to write explanations when they were not provided with support.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1502_1,,,,,,,,
Mastery and Appropriation as Means to Understand the Interplay of History Learning and Identity Trajectories,Polman,2006,Journal of the Learning Sciences,"This article uses a sociocultural approach to analyze how trajectories of identity development and learning intersect in actions carried out in a community of learners. The approach utilizes a framework for analysis with 5 aspects: the action, the agents, the goals, the cultural tools, and the scene. The study posits a distinction between mastery of the cultural tools of a discipline—in this case history—and the appropriation of those tools to relate to learners' identities and the likelihood for learners to use tools outside the context in which they are learned. The study uses the framework to analyze 2 particular moments of action within a set of project-based, after school clubs inquiring into the history of resistance to slavery. One action, which advanced a youth's identity as a history learner and participation in practices of historical inquiry, was enabled by successfully building on his identity and expertise as a computer ""gamer."" Another youth's school identity and the norms of his school constrained his action during the after school club in important ways, limiting his opportunities for learning and identity development. Implications of these findings for educators wishing to design ""hybrid"" learning environments incorporating disciplinary thinking and learner interests are discussed.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1502_3,,,,,,,,
Multiple Epistemological Coherences in an Eighth-Grade Discussion of the Rock Cycle,Rosenberg et al.,2006,Journal of the Learning Sciences,"Research on personal epistemologies (Hofer & Pintrich, 2002) has mostly conceptualized them as stable beliefs or stages of development. On these views, researchers characterize individual students' epistemologies with single, coherent descriptions. Evidence of variability in student epistemologies, however, suggests the need for more complex models. Hammer and Elby (2002) proposed modeling personal epistemologies as comprised of manifold epistemological resources. This difference in ontology—the form research attributes to cognitive structure—accounts for variability: The activation of these epistemological resources depends on context. Our purpose in this article is to argue that it also accounts for coherences in student epistemologies, in particular for multiple local coherences. We advance this argument using a case study of a 15-min discussion by a group of eighth graders about the ""rock cycle"" (the cyclic transformations of rock among different forms). We begin with evidence of the students' working from a stable, coherent epistemological stance. Then, after a brief, purely epistemological intervention by the teacher, the evidence indicates they are working from a different but also coherent and stable epistemological stance.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1502_4,,,,,,,,
"Complexity, Technology, Science, and Education",Sabelli,2006,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_3,,,,,,,,
Tracing the Evolution of Pedagogical Content Knowledge as the Development of Interanimated Discourses,Seymour & Lehrer,2006,Journal of the Learning Sciences,"For this article, the development of 1 teacher's pedagogical content knowledge (Shulman, 1986) was tracked longitudinally across 2 years as she taught a new instructional unit in middle school mathematics. Growth in pedagogical content knowledge is characterized as the interanimation of 2 Discourses (Gee, 1999). One Discourse refers to characteristic ways that students talk and act about the mathematics of the unit; and the other Discourse, to characteristic ways that the teacher talks and acts as she guides the development of students' mathematical thinking. At the inception of the unit, the variety of small d discourses students and teacher generated were only loosely coupled. Initially, the teacher responded to variations in student talk and activity by employing general revoicing heuristics, such as repeating what a student had said so that others could hear or by asking a question to elicit further elaboration of a particular student's pattern of thought. As the teacher attempted to orchestrate classroom conversations oriented toward developing mathematical understanding, these general heuristics often failed to transform student thinking in ways that she considered mathematically productive. As a consequence, she generated new conversational gambits that were more often tuned to particular elements of students' mathematical talk and activity. Some of these forms of talk created more fruitful classroom discourse about mathematics, which the teacher increasingly recognized as signals of particular ways of thinking about the mathematics (of slope). The teacher was not content with mere recognition. She elaborated and continued to innovate. Conjectures about the growth of pedagogical content knowledge were tested in video-stimulated structured interviews with the teacher and by modeling the syntax of teacher support of student thinking—predicting specific patterns of couplings between student and teacher Discourses. This article concludes with a discussion of the implications of this view for the ontogenesis of adaptive expertise.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1504_5,,,,,,,,
Small-Group Reflections: Parallels Between Teacher Discourse and Student Behavior in Peer-Directed Groups,Webb et al.,2006,Journal of the Learning Sciences,"Prior research on small-group collaboration identifies several behaviors that significantly predict student learning, such as exchanging explanations and applying help received. Previous reports focus on student behavior to understand why many students do not engage in behaviors predictive of learning, leaving unexplored how teachers may influence small-group interaction. Consequently, this article describes established teacher practices and examines whether and how students reproduce teacher discourse in the context of a semester-long program of cooperative learning in four middle school mathematics classrooms. This article illustrates changes that emerged and factors that made change difficult. The research concludes that student behavior largely mirrored the discourse modeled by and the expectations communicated by teachers. Teachers tended to give unlabeled calculations, procedures, or answers instead of labeled explanations. Teachers often instructed using a recitation approach in which they assumed primary responsibility for solving the problem, having students only provide answers to discrete steps. Finally, teachers rarely encouraged students to verbalize their thinking or to ask questions. Students adopting the role of help-giver showed behavior very similar to that of the teacher: doing most of the work, providing mostly low-level help, and infrequently monitoring other students’ level of understanding. The relatively passive behavior of students needing help corresponded to expectations communicated by the teacher about the learner as a fairly passive recipient of the teacher’s transmitted knowledge.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1501_8,,,,,,,,
Dialogue in the Classroom,Wells & Arauz,2006,Journal of the Learning Sciences,"There is increasing agreement among those who study classrooms that learning is likely to be most effective when students are actively involved in the dialogic coconstruction of meaning about topics that are of significance to them. This article reports the results of an extended collaborative action research project in which teachers attempted to create the conditions for such dialogue by adopting an inquiry approach to the curriculum. A quantitative comparison between observations made early and late in the teachers’ involvement in the project showed a number of significant changes in the characteristics of teacher–whole-class discourse, with a shift toward a more dialogic mode of interaction. Nevertheless, the initiation-response-follow-up (IRF) genre continued to be pervasive. Despite this, when the same observations were examined qualitatively, there was clear evidence of an increase over time in the teachers’ adoption of a “dialogic stance.” The article concludes with a consideration of the relationship between the choice of discourse formats and the enactment of a dialogic stance.",http://www.tandfonline.com/doi/abs/10.1207/s15327809jls1503_3,,,,,,,,
Our Designs and the Social Agendas They Carry,Barab et al.,2007,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1080/10508400701193713,[framework] Critical Design Theory;[framework] Critical Pedagogy;[framework] Design-Based Research (DBR);,[pedagogy] Critical Pedagogy;[pedagogy] Design-Based Research (DBR);,[method] Case Study Research;[method] Critical Design Research;[method] Design-Based Research (DBR);,[setting] classrooms;,epistemology;equity;,,,
Confronting Analytical Dilemmas for Understanding Complex Human Interactions in Design-Based Research From a Cultural—Historical Activity Theory (CHAT) Framework,Yamagata-Lynch,2007,Journal of the Learning Sciences,"Understanding human activity in real-world situations often involves complicated data collection, analysis, and presentation methods. This article discusses how Cultural-Historical Activity Theory (CHAT) can inform design-based research practices that focus on understanding activity in real-world situations. I provide a sample data set with activity systems analyses of a yearlong teacher professional development program designed to foster technology integration into rural Indiana schools. I present the analytical dilemmas I faced while maintaining trustworthiness in the qualitative data analysis. Through the sample data analysis, I demonstrate how the schoolwide technology reform initiative affected and was affected by classroom-based teacher technology implementation projects. Additionally, I introduce the theoretical findings from the data analyses that contribute to further development in activity systems analysis.",http://www.tandfonline.com/doi/abs/10.1080/10508400701524777,[framework] Cultural-Historical Activity Theory (CHAT);[framework] Design-Based Research (DBR);,[pedagogy] Design-Based Research (DBR);,[method] Activity System Analysis;[method] Design-Based Research (DBR);,[setting] rural schooling;,,,,
Student-Directed Assessment of Knowledge Building Using Electronic Portfolios,Aalst & Chan,2007,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1080/10508400701193697,,,,,,,,
Representational Tools in Computer-Supported Collaborative Argumentation-Based Learning: How Dyads Work With Constructed and Inspected Argumentative Diagrams,Amelsvoort et al.,2007,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1080/10508400701524785,,,,,,,,
Rescuing Play,Eisenberg,2007,Journal of the Learning Sciences,,https://www.tandfonline.com/doi/full/10.1080/10508400709336944,,,,,,,,
A Taxonomy for Categorizing Generalizations: Generalizing Actions and Reflection Generalizations,Ellis,2007,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1080/10508400701193705,,,,,,,,
They Don't Show Nothing I Didn't Know: Emergent Tensions Between Culturally Relevant Pedagogy and Mathematics Pedagogy,Enyedy & Mukhopadhyay,2007,Journal of the Learning Sciences,,http://www.tandfonline.com/doi/abs/10.1080/10508400701193671,,,,,,,,
Learning How to Believe: Epistemic Development in Cultural Context,Gottlieb,2007,Journal of the Learning Sciences,,https://www.tandfonline.com/doi/full/10.1080/10508400709336941,,,,,,,,
"Fast Kids, Slow Kids, Lazy Kids: Framing the Mismatch Problem in Mathematics Teachers' Conversations",Horn,2007,Journal of the Learning Sciences,,https://www.tandfonline.com/doi/full/10.1080/10508400709336942,,,,,,,,
Discourse Patterns During Children's Collaborative Online Discussions,Kim et al.,2007,Journal of the Learning Sciences,"This article examines the discourse of 10 groups of children during text-based online discussions. Analysis of the discourse in the discussions showed that 8 different rhetorical moves, or argument stratagems, were used by most groups of children, whereas 3 other stratagems were used by 1 group. The use of argument stratagems snowballed; that is, once an argument stratagem emerged in a discussion, it tended to spread to other children in the Web group, and the likelihood that it would occur again remained high over the course of the discussion. Most stratagems began to spread when initiated by other children but not when introduced by the adult moderator. Children were eager to participate and displayed a high rate of participation in discussions with Webmates from distant classrooms. These findings suggest that collaborative online discussions may provide an effective instructional medium for promoting children's learning of reasoning strategies and thinking skills.",http://www.tandfonline.com/doi/abs/10.1080/10508400701413419,,,,,,,,
"To Disagree, We Must Also Agree: How Intersubjectivity Structures and Perpetuates Discourse in a Mathematics Classroom",Nathan et al.,2007,Journal of the Learning Sciences,"Learning in a socially mediated context like a classroom places emphasis on the ability of learners to communicate their ideas to others, and for members of a class to achieve shared meaning or intersubjectivity (IS). We take a participatory view of IS, where both consensual agreement and disagreement are regarded as aspects of a common set of processes that mediate collective activity. Interlocutors need not demonstrate convergence toward a common idea or solution to exhibit IS and, indeed, they appear to need a shared understanding to express substantive disagreement through divergent views. Multilevel, multimodal analyses of videotape of a middle school mathematics classroom, including speech, gestures, drawing, and object use, reveal a discourse that is organized into recurrent sequences of event triads. The dynamics toward and away from convergent ideas appears to be instrumental in fostering sustained and engaging discourse and influencing the representations that students propose during problem solving. Participants frequently exhibited IS, but, as allowed for in the participatory view, the interactions did not seem to convert many students from their initial interpretations. Instead, disagreements and a desire to establish common understanding appeared to lead participants to express their divergent views in more refined and accessible ways. Advancement of our understanding of the role that IS serves in socially mediated learning has the potential to inform both educational theory and emerging areas in embodied cognition and cognitive neuroscience that addresses imitation and empathy, and thus help to bridge research between brain function and social cognition.",http://www.tandfonline.com/doi/abs/10.1080/10508400701525238,,,,,,,,
